district_year,location,year,POP,fips
Alabama-Autauga:2000,Alabama-Autauga,2000,44021,01001
Alabama-Autauga:2001,Alabama-Autauga,2001,44889,01001
Alabama-Autauga:2002,Alabama-Autauga,2002,45909,01001
Alabama-Autauga:2003,Alabama-Autauga,2003,46800,01001
Alabama-Autauga:2004,Alabama-Autauga,2004,48366,01001
Alabama-Autauga:2005,Alabama-Autauga,2005,49676,01001
Alabama-Autauga:2006,Alabama-Autauga,2006,51328,01001
Alabama-Autauga:2007,Alabama-Autauga,2007,52405,01001
Alabama-Autauga:2008,Alabama-Autauga,2008,53277,01001
Alabama-Autauga:2009,Alabama-Autauga,2009,54135,01001
Alabama-Autauga:2010,Alabama-Autauga,2010,54773,01001
Alabama-Autauga:2011,Alabama-Autauga,2011,55227,01001
Alabama-Autauga:2012,Alabama-Autauga,2012,54954,01001
Alabama-Autauga:2013,Alabama-Autauga,2013,54727,01001
Alabama-Autauga:2014,Alabama-Autauga,2014,54893,01001
Alabama-Autauga:2015,Alabama-Autauga,2015,54864,01001
Alabama-Autauga:2016,Alabama-Autauga,2016,55243,01001
Alabama-Autauga:2017,Alabama-Autauga,2017,55390,01001
Alabama-Autauga:2018,Alabama-Autauga,2018,55533,01001
Alabama-Autauga:2019,Alabama-Autauga,2019,55869,01001
Alabama-Baldwin:2000,Alabama-Baldwin,2000,141342,01003
Alabama-Baldwin:2001,Alabama-Baldwin,2001,144875,01003
Alabama-Baldwin:2002,Alabama-Baldwin,2002,147957,01003
Alabama-Baldwin:2003,Alabama-Baldwin,2003,151509,01003
Alabama-Baldwin:2004,Alabama-Baldwin,2004,156266,01003
Alabama-Baldwin:2005,Alabama-Baldwin,2005,162183,01003
Alabama-Baldwin:2006,Alabama-Baldwin,2006,168121,01003
Alabama-Baldwin:2007,Alabama-Baldwin,2007,172404,01003
Alabama-Baldwin:2008,Alabama-Baldwin,2008,175827,01003
Alabama-Baldwin:2009,Alabama-Baldwin,2009,179406,01003
Alabama-Baldwin:2010,Alabama-Baldwin,2010,183112,01003
Alabama-Baldwin:2011,Alabama-Baldwin,2011,186558,01003
Alabama-Baldwin:2012,Alabama-Baldwin,2012,190145,01003
Alabama-Baldwin:2013,Alabama-Baldwin,2013,194885,01003
Alabama-Baldwin:2014,Alabama-Baldwin,2014,199183,01003
Alabama-Baldwin:2015,Alabama-Baldwin,2015,202939,01003
Alabama-Baldwin:2016,Alabama-Baldwin,2016,207601,01003
Alabama-Baldwin:2017,Alabama-Baldwin,2017,212521,01003
Alabama-Baldwin:2018,Alabama-Baldwin,2018,217855,01003
Alabama-Baldwin:2019,Alabama-Baldwin,2019,223234,01003
Alabama-Barbour:2000,Alabama-Barbour,2000,29015,01005
Alabama-Barbour:2001,Alabama-Barbour,2001,28863,01005
Alabama-Barbour:2002,Alabama-Barbour,2002,28653,01005
Alabama-Barbour:2003,Alabama-Barbour,2003,28594,01005
Alabama-Barbour:2004,Alabama-Barbour,2004,28287,01005
Alabama-Barbour:2005,Alabama-Barbour,2005,28027,01005
Alabama-Barbour:2006,Alabama-Barbour,2006,27861,01005
Alabama-Barbour:2007,Alabama-Barbour,2007,27757,01005
Alabama-Barbour:2008,Alabama-Barbour,2008,27808,01005
Alabama-Barbour:2009,Alabama-Barbour,2009,27657,01005
Alabama-Barbour:2010,Alabama-Barbour,2010,27327,01005
Alabama-Barbour:2011,Alabama-Barbour,2011,27341,01005
Alabama-Barbour:2012,Alabama-Barbour,2012,27169,01005
Alabama-Barbour:2013,Alabama-Barbour,2013,26937,01005
Alabama-Barbour:2014,Alabama-Barbour,2014,26755,01005
