County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Adams,31154,31021,30716,30693,30740,30987,30910,30892,31160,31280,31342,31234,31390,31590,31433,31585,31684
Antelope,7435,7242,7229,7172,7063,6994,6836,6767,6704,6739,6667,6628,6528,6451,6401,6398,6329
Arthur,445,423,421,439,433,428,450,457,453,442,464,469,481,454,454,457,469
Banner,819,808,769,763,749,731,733,715,677,686,696,736,764,766,751,797,798
Blaine,583,564,551,545,515,492,493,463,456,477,472,495,513,482,505,492,484
Boone,6214,6146,6053,5888,5813,5746,5623,5582,5548,5514,5502,5396,5415,5386,5335,5295,5332
BoxButte,12235,11985,11951,11719,11528,11422,11338,11409,11482,11347,11276,11295,11276,11305,11310,11311,11194
Boyd,2431,2390,2352,2304,2246,2219,2143,2109,2102,2075,2103,2086,2064,2022,2029,2011,1982
Brown,3534,3510,3497,3478,3441,3329,3319,3225,3149,3115,3149,3085,3025,2925,2944,2943,2960
Buffalo,42310,42418,42949,43251,43753,44131,44645,45060,45343,45970,46178,46832,47626,48030,48238,48732,49383
Burt,7786,7659,7486,7366,7399,7225,7122,6999,6967,6885,6846,6793,6684,6583,6575,6581,6546
Butler,8826,8878,8817,8716,8631,8479,8396,8375,8355,8387,8375,8308,8309,8311,8248,8104,8052
Cass,24365,24460,24602,24868,25074,25170,25240,25256,25322,25122,25264,25269,25156,25365,25502,25523,25767
Cedar,9604,9470,9391,9291,9246,9240,9060,8941,8839,8854,8819,8780,8763,8681,8603,8568,8671
Chase,4053,4003,4045,4090,4018,3983,3965,3913,3865,3921,3964,4004,4036,3988,3990,3986,3937
Cherry,6152,6060,6054,6031,6064,6039,5927,5834,5752,5683,5704,5742,5729,5774,5741,5829,5832
Cheyenne,9832,9943,9973,9935,9970,10125,9943,10139,10150,10032,9971,9979,10062,10066,10116,10156,10051
Clay,7029,6944,6899,6859,6795,6669,6609,6564,6543,6512,6541,6475,6409,6374,6308,6311,6163
Colfax,10452,10440,10478,10433,10457,10238,9993,9993,10083,10380,10536,10580,10559,10424,10557,10541,10414
Cuming,10169,10054,9962,9832,9709,9642,9440,9286,9215,9132,9155,9143,9098,9008,9021,9130,9016
Custer,11784,11593,11508,11388,11328,11248,11090,11005,11001,10999,10915,10869,10788,10787,10735,10802,10807
Dakota,20296,20331,20374,20488,20410,20191,20295,20564,20559,20924,21035,20841,20795,20848,20666,20713,20465
Dawes,9054,9162,9227,9306,9127,9087,9040,9181,9134,9218,9175,9232,9179,9118,9092,9041,8979
Dawson,24410,24359,24149,24175,24112,24085,24291,24178,24160,24212,24334,24303,24064,24083,23990,23845,23640
Deuel,2086,2085,2029,2027,2025,1999,1969,1982,1986,1941,1938,1969,1972,1929,1935,1924,1873
Dixon,6246,6156,6064,5984,5908,5961,5987,5993,6004,6013,5977,6013,5908,5821,5767,5789,5762
Dodge,36231,36143,36060,36184,36267,36442,36597,36647,36548,36604,36661,36954,36648,36598,36714,36676,36757
Douglas,464701,468125,471866,476701,482075,488114,493757,498743,504547,511902,518675,524557,531307,537483,543312,549168,554995
Dundy,2268,2179,2159,2170,2154,2091,2051,2010,1973,1997,2008,1980,1994,1974,1884,1800,1831
Fillmore,6607,6493,6376,6371,6281,6126,6053,5985,5940,5898,5876,5836,5731,5664,5638,5628,5720
Franklin,3544,3467,3484,3440,3411,3425,3352,3207,3167,3186,3232,3215,3189,3086,3075,3015,3014
Frontier,3085,3069,3037,2981,2990,2944,2879,2860,2786,2772,2756,2732,2735,2716,2710,2617,2621
Furnas,5299,5232,5261,5207,5112,5051,5016,4929,4873,4934,4952,4932,4899,4845,4870,4849,4787
Gage,22955,23039,23031,23056,23052,22866,22875,22843,22574,22364,22296,21953,21745,21818,21666,21863,21799
Garden,2289,2306,2284,2304,2245,2111,2120,2046,2004,2010,2080,2050,1969,1909,1913,1927,1930
Garfield,1899,1913,1945,1936,1955,1969,1984,1977,2001,2029,2041,1989,1984,2014,1987,2021,2011
Gosper,2146,2096,2100,2136,2112,2110,2075,2101,2049,2020,2045,1950,2032,1961,1952,1968,1971
Grant,736,743,726,697,680,676,677,660,653,619,613,631,616,621,617,637,641
Greeley,2712,2700,2696,2662,2643,2577,2578,2538,2548,2502,2541,2532,2455,2477,2475,2431,2399
Hall,53569,53508,53722,54050,54413,54535,55190,55742,56795,57955,58817,59587,60301,60752,61346,61422,61705
Hamilton,9377,9307,9323,9349,9319,9269,9196,9204,9157,9113,9122,9074,9023,9100,9102,9179,9186
