"County","cofips","year","pop"
"Adams","001","2000",31154
"Antelope","003","2000",7435
"Arthur","005","2000",445
"Banner","007","2000",819
"Blaine","009","2000",583
"Boone","011","2000",6214
"BoxButte","013","2000",12235
"Boyd","015","2000",2431
"Brown","017","2000",3534
"Buffalo","019","2000",42310
"Burt","021","2000",7786
"Butler","023","2000",8826
"Cass","025","2000",24365
"Cedar","027","2000",9604
"Chase","029","2000",4053
"Cherry","031","2000",6152
"Cheyenne","033","2000",9832
"Clay","035","2000",7029
"Colfax","037","2000",10452
"Cuming","039","2000",10169
"Custer","041","2000",11784
"Dakota","043","2000",20296
"Dawes","045","2000",9054
"Dawson","047","2000",24410
"Deuel","049","2000",2086
"Dixon","051","2000",6246
"Dodge","053","2000",36231
"Douglas","055","2000",464701
"Dundy","057","2000",2268
"Fillmore","059","2000",6607
"Franklin","061","2000",3544
"Frontier","063","2000",3085
"Furnas","065","2000",5299
"Gage","067","2000",22955
"Garden","069","2000",2289
"Garfield","071","2000",1899
"Gosper","073","2000",2146
"Grant","075","2000",736
"Greeley","077","2000",2712
"Hall","079","2000",53569
"Hamilton","081","2000",9377
"Harlan","083","2000",3764
"Hayes","085","2000",1070
"Hitchcock","087","2000",3103
"Holt","089","2000",11487
"Hooker","091","2000",773
"Howard","093","2000",6523
"Jefferson","095","2000",8324
"Johnson","097","2000",4506
"Kearney","099","2000",6889
"Keith","101","2000",8839
"KeyaPaha","103","2000",981
"Kimball","105","2000",4060
"Knox","107","2000",9336
"Lancaster","109","2000",251523
"Lincoln","111","2000",34660
"Logan","113","2000",773
"Loup","115","2000",709
"Madison","119","2000",35230
"McPherson","117","2000",532
"Merrick","121","2000",8152
"Morrill","123","2000",5420
"Nance","125","2000",4054
"Nemaha","127","2000",7578
"Nuckolls","129","2000",5032
"Otoe","131","2000",15494
"Pawnee","133","2000",3088
"Perkins","135","2000",3181
"Phelps","137","2000",9733
"Pierce","139","2000",7824
"Platte","141","2000",31500
"Polk","143","2000",5610
"RedWillow","145","2000",11487
"Richardson","147","2000",9507
"Rock","149","2000",1743
"Saline","151","2000",13880
"Sarpy","153","2000",123309
"Saunders","155","2000",19852
"ScottsBluff","157","2000",37012
"Seward","159","2000",16519
"Sheridan","161","2000",6165
"Sherman","163","2000",3298
"Sioux","165","2000",1471
"Stanton","167","2000",6416
"Thayer","169","2000",6030
"Thomas","171","2000",733
"Thurston","173","2000",7139
"Valley","175","2000",4649
"Washington","177","2000",18803
"Wayne","179","2000",9854
"Webster","181","2000",4045
"Wheeler","183","2000",885
"York","185","2000",14553
"Adams","001","2001",31021
"Antelope","003","2001",7242
"Arthur","005","2001",423
"Banner","007","2001",808
"Blaine","009","2001",564
"Boone","011","2001",6146
"BoxButte","013","2001",11985
"Boyd","015","2001",2390
"Brown","017","2001",3510
"Buffalo","019","2001",42418
"Burt","021","2001",7659
"Butler","023","2001",8878
"Cass","025","2001",24460
"Cedar","027","2001",9470
"Chase","029","2001",4003
"Cherry","031","2001",6060
"Cheyenne","033","2001",9943
"Clay","035","2001",6944
"Colfax","037","2001",10440
"Cuming","039","2001",10054
"Custer","041","2001",11593
"Dakota","043","2001",20331
"Dawes","045","2001",9162
"Dawson","047","2001",24359
"Deuel","049","2001",2085
"Dixon","051","2001",6156
"Dodge","053","2001",36143
"Douglas","055","2001",468125
"Dundy","057","2001",2179
"Fillmore","059","2001",6493
"Franklin","061","2001",3467
"Frontier","063","2001",3069
"Furnas","065","2001",5232
"Gage","067","2001",23039
"Garden","069","2001",2306
"Garfield","071","2001",1913
"Gosper","073","2001",2096
"Grant","075","2001",743
"Greeley","077","2001",2700
"Hall","079","2001",53508
"Hamilton","081","2001",9307
"Harlan","083","2001",3732
"Hayes","085","2001",1088
"Hitchcock","087","2001",3095
"Holt","089","2001",11346
"Hooker","091","2001",745
"Howard","093","2001",6448
"Jefferson","095","2001",8288
"Johnson","097","2001",4491
"Kearney","099","2001",6842
"Keith","101","2001",8767
"KeyaPaha","103","2001",966
"Kimball","105","2001",4055
"Knox","107","2001",9177
"Lancaster","109","2001",254630
"Lincoln","111","2001",34669
"Logan","113","2001",780
"Loup","115","2001",715
"Madison","119","2001",35601
"McPherson","117","2001",534
"Merrick","121","2001",8045
"Morrill","123","2001",5344
"Nance","125","2001",4039
"Nemaha","127","2001",7446
"Nuckolls","129","2001",4947
"Otoe","131","2001",15554
"Pawnee","133","2001",3020
"Perkins","135","2001",3125
"Phelps","137","2001",9704
"Pierce","139","2001",7731
"Platte","141","2001",31319
"Polk","143","2001",5533
"RedWillow","145","2001",11483
"Richardson","147","2001",9260
"Rock","149","2001",1709
"Saline","151","2001",14004
"Sarpy","153","2001",126442
"Saunders","155","2001",19962
"ScottsBluff","157","2001",36561
"Seward","159","2001",16607
"Sheridan","161","2001",5995
"Sherman","163","2001",3289
"Sioux","165","2001",1406
"Stanton","167","2001",6374
"Thayer","169","2001",5884
"Thomas","171","2001",717
"Thurston","173","2001",7085
"Valley","175","2001",4623
"Washington","177","2001",19134
"Wayne","179","2001",9788
"Webster","181","2001",4017
"Wheeler","183","2001",858
"York","185","2001",14438
"Adams","001","2002",30716
"Antelope","003","2002",7229
"Arthur","005","2002",421
"Banner","007","2002",769
"Blaine","009","2002",551
"Boone","011","2002",6053
"BoxButte","013","2002",11951
"Boyd","015","2002",2352
"Brown","017","2002",3497
"Buffalo","019","2002",42949
"Burt","021","2002",7486
"Butler","023","2002",8817
"Cass","025","2002",24602
"Cedar","027","2002",9391
"Chase","029","2002",4045
"Cherry","031","2002",6054
"Cheyenne","033","2002",9973
"Clay","035","2002",6899
"Colfax","037","2002",10478
"Cuming","039","2002",9962
"Custer","041","2002",11508
"Dakota","043","2002",20374
"Dawes","045","2002",9227
"Dawson","047","2002",24149
"Deuel","049","2002",2029
"Dixon","051","2002",6064
"Dodge","053","2002",36060
"Douglas","055","2002",471866
"Dundy","057","2002",2159
"Fillmore","059","2002",6376
"Franklin","061","2002",3484
"Frontier","063","2002",3037
"Furnas","065","2002",5261
"Gage","067","2002",23031
"Garden","069","2002",2284
"Garfield","071","2002",1945
"Gosper","073","2002",2100
"Grant","075","2002",726
"Greeley","077","2002",2696
"Hall","079","2002",53722
"Hamilton","081","2002",9323
"Harlan","083","2002",3677
"Hayes","085","2002",1098
"Hitchcock","087","2002",3056
"Holt","089","2002",11210
"Hooker","091","2002",731
"Howard","093","2002",6427
"Jefferson","095","2002",8253
"Johnson","097","2002",4927
"Kearney","099","2002",6785
"Keith","101","2002",8757
"KeyaPaha","103","2002",957
"Kimball","105","2002",4046
"Knox","107","2002",9108
"Lancaster","109","2002",258398
"Lincoln","111","2002",34525
"Logan","113","2002",764
"Loup","115","2002",736
"Madison","119","2002",35862
"McPherson","117","2002",549
"Merrick","121","2002",8054
"Morrill","123","2002",5225
"Nance","125","2002",3948
"Nemaha","127","2002",7330
"Nuckolls","129","2002",4844
"Otoe","131","2002",15524
"Pawnee","133","2002",3020
"Perkins","135","2002",3119
"Phelps","137","2002",9684
"Pierce","139","2002",7627
"Platte","141","2002",30939
"Polk","143","2002",5556
"RedWillow","145","2002",11436
"Richardson","147","2002",9125
"Rock","149","2002",1674
"Saline","151","2002",14110
"Sarpy","153","2002",129496
"Saunders","155","2002",19925
"ScottsBluff","157","2002",36572
"Seward","159","2002",16574
"Sheridan","161","2002",5995
"Sherman","163","2002",3228
"Sioux","165","2002",1443
"Stanton","167","2002",6453
"Thayer","169","2002",5723
"Thomas","171","2002",691
"Thurston","173","2002",6989
"Valley","175","2002",4541
"Washington","177","2002",19264
"Wayne","179","2002",9664
"Webster","181","2002",3970
"Wheeler","183","2002",837
"York","185","2002",14230
"Adams","001","2003",30693
"Antelope","003","2003",7172
"Arthur","005","2003",439
"Banner","007","2003",763
"Blaine","009","2003",545
"Boone","011","2003",5888
"BoxButte","013","2003",11719
"Boyd","015","2003",2304
"Brown","017","2003",3478
"Buffalo","019","2003",43251
"Burt","021","2003",7366
"Butler","023","2003",8716
"Cass","025","2003",24868
"Cedar","027","2003",9291
"Chase","029","2003",4090
"Cherry","031","2003",6031
"Cheyenne","033","2003",9935
"Clay","035","2003",6859
"Colfax","037","2003",10433
"Cuming","039","2003",9832
"Custer","041","2003",11388
"Dakota","043","2003",20488
"Dawes","045","2003",9306
"Dawson","047","2003",24175
"Deuel","049","2003",2027
"Dixon","051","2003",5984
"Dodge","053","2003",36184
"Douglas","055","2003",476701
"Dundy","057","2003",2170
"Fillmore","059","2003",6371
"Franklin","061","2003",3440
"Frontier","063","2003",2981
"Furnas","065","2003",5207
"Gage","067","2003",23056
"Garden","069","2003",2304
"Garfield","071","2003",1936
"Gosper","073","2003",2136
"Grant","075","2003",697
"Greeley","077","2003",2662
"Hall","079","2003",54050
"Hamilton","081","2003",9349
"Harlan","083","2003",3717
"Hayes","085","2003",1092
"Hitchcock","087","2003",3047
"Holt","089","2003",11042
"Hooker","091","2003",737
"Howard","093","2003",6509
"Jefferson","095","2003",8157
"Johnson","097","2003",5102
"Kearney","099","2003",6800
"Keith","101","2003",8514
"KeyaPaha","103","2003",964
"Kimball","105","2003",3960
"Knox","107","2003",9065
"Lancaster","109","2003",262667
"Lincoln","111","2003",34776
"Logan","113","2003",737
"Loup","115","2003",722
"Madison","119","2003",35858
"McPherson","117","2003",538
"Merrick","121","2003",8033
"Morrill","123","2003",5202
"Nance","125","2003",3842
"Nemaha","127","2003",7215
"Nuckolls","129","2003",4873
"Otoe","131","2003",15478
"Pawnee","133","2003",2907
"Perkins","135","2003",3082
"Phelps","137","2003",9576
"Pierce","139","2003",7615
"Platte","141","2003",30756
"Polk","143","2003",5529
"RedWillow","145","2003",11336
"Richardson","147","2003",8949
"Rock","149","2003",1600
"Saline","151","2003",14232
"Sarpy","153","2003",132017
"Saunders","155","2003",20104
"ScottsBluff","157","2003",36468
"Seward","159","2003",16527
"Sheridan","161","2003",5842
"Sherman","163","2003",3222
"Sioux","165","2003",1489
"Stanton","167","2003",6437
"Thayer","169","2003",5625
"Thomas","171","2003",689
"Thurston","173","2003",6987
"Valley","175","2003",4581
"Washington","177","2003",19510
"Wayne","179","2003",9689
"Webster","181","2003",3952
"Wheeler","183","2003",815
"York","185","2003",14175
"Adams","001","2004",30740
"Antelope","003","2004",7063
"Arthur","005","2004",433
"Banner","007","2004",749
"Blaine","009","2004",515
"Boone","011","2004",5813
"BoxButte","013","2004",11528
"Boyd","015","2004",2246
"Brown","017","2004",3441
"Buffalo","019","2004",43753
"Burt","021","2004",7399
"Butler","023","2004",8631
"Cass","025","2004",25074
"Cedar","027","2004",9246
"Chase","029","2004",4018
"Cherry","031","2004",6064
"Cheyenne","033","2004",9970
"Clay","035","2004",6795
"Colfax","037","2004",10457
"Cuming","039","2004",9709
"Custer","041","2004",11328
"Dakota","043","2004",20410
"Dawes","045","2004",9127
"Dawson","047","2004",24112
"Deuel","049","2004",2025
"Dixon","051","2004",5908
"Dodge","053","2004",36267
"Douglas","055","2004",482075
"Dundy","057","2004",2154
"Fillmore","059","2004",6281
"Franklin","061","2004",3411
"Frontier","063","2004",2990
"Furnas","065","2004",5112
"Gage","067","2004",23052
"Garden","069","2004",2245
"Garfield","071","2004",1955
"Gosper","073","2004",2112
"Grant","075","2004",680
"Greeley","077","2004",2643
"Hall","079","2004",54413
"Hamilton","081","2004",9319
"Harlan","083","2004",3633
"Hayes","085","2004",1063
"Hitchcock","087","2004",3055
"Holt","089","2004",10868
"Hooker","091","2004",748
"Howard","093","2004",6465
"Jefferson","095","2004",8117
"Johnson","097","2004",5372
"Kearney","099","2004",6776
"Keith","101","2004",8444
"KeyaPaha","103","2004",942
"Kimball","105","2004",3921
"Knox","107","2004",9025
"Lancaster","109","2004",265087
"Lincoln","111","2004",35177
"Logan","113","2004",738
"Loup","115","2004",669
"Madison","119","2004",35722
"McPherson","117","2004",531
"Merrick","121","2004",8018
"Morrill","123","2004",5147
"Nance","125","2004",3787
"Nemaha","127","2004",7182
"Nuckolls","129","2004",4872
"Otoe","131","2004",15525
"Pawnee","133","2004",2907
"Perkins","135","2004",3134
"Phelps","137","2004",9535
"Pierce","139","2004",7477
"Platte","141","2004",30658
"Polk","143","2004",5466
"RedWillow","145","2004",11351
"Richardson","147","2004",8879
"Rock","149","2004",1597
"Saline","151","2004",14206
"Sarpy","153","2004",136339
"Saunders","155","2004",20248
"ScottsBluff","157","2004",36278
"Seward","159","2004",16681
"Sheridan","161","2004",5851
"Sherman","163","2004",3255
"Sioux","165","2004",1438
"Stanton","167","2004",6426
"Thayer","169","2004",5495
"Thomas","171","2004",664
"Thurston","173","2004",6943
"Valley","175","2004",4482
"Washington","177","2004",19589
"Wayne","179","2004",9612
"Webster","181","2004",3949
"Wheeler","183","2004",811
"York","185","2004",13952
"Adams","001","2005",30987
"Antelope","003","2005",6994
"Arthur","005","2005",428
"Banner","007","2005",731
"Blaine","009","2005",492
"Boone","011","2005",5746
"BoxButte","013","2005",11422
"Boyd","015","2005",2219
"Brown","017","2005",3329
"Buffalo","019","2005",44131
"Burt","021","2005",7225
"Butler","023","2005",8479
"Cass","025","2005",25170
"Cedar","027","2005",9240
"Chase","029","2005",3983
"Cherry","031","2005",6039
"Cheyenne","033","2005",10125
"Clay","035","2005",6669
"Colfax","037","2005",10238
"Cuming","039","2005",9642
"Custer","041","2005",11248
"Dakota","043","2005",20191
"Dawes","045","2005",9087
"Dawson","047","2005",24085
"Deuel","049","2005",1999
"Dixon","051","2005",5961
"Dodge","053","2005",36442
"Douglas","055","2005",488114
"Dundy","057","2005",2091
"Fillmore","059","2005",6126
"Franklin","061","2005",3425
"Frontier","063","2005",2944
"Furnas","065","2005",5051
"Gage","067","2005",22866
"Garden","069","2005",2111
"Garfield","071","2005",1969
"Gosper","073","2005",2110
"Grant","075","2005",676
"Greeley","077","2005",2577
"Hall","079","2005",54535
"Hamilton","081","2005",9269
"Harlan","083","2005",3558
"Hayes","085","2005",1051
"Hitchcock","087","2005",2954
"Holt","089","2005",10839
"Hooker","091","2005",744
"Howard","093","2005",6432
"Jefferson","095","2005",8025
"Johnson","097","2005",5257
"Kearney","099","2005",6698
"Keith","101","2005",8418
"KeyaPaha","103","2005",904
"Kimball","105","2005",3925
"Knox","107","2005",8897
"Lancaster","109","2005",268868
"Lincoln","111","2005",35577
"Logan","113","2005",747
"Loup","115","2005",652
"Madison","119","2005",35631
"McPherson","117","2005",522
"Merrick","121","2005",7904
"Morrill","123","2005",5110
"Nance","125","2005",3831
"Nemaha","127","2005",7252
"Nuckolls","129","2005",4796
"Otoe","131","2005",15607
"Pawnee","133","2005",2884
"Perkins","135","2005",3145
"Phelps","137","2005",9402
"Pierce","139","2005",7508
"Platte","141","2005",30865
"Polk","143","2005",5473
"RedWillow","145","2005",11219
"Richardson","147","2005",8799
"Rock","149","2005",1557
"Saline","151","2005",14136
"Sarpy","153","2005",140239
"Saunders","155","2005",20460
"ScottsBluff","157","2005",36277
