"County","month","year","spei1"
"Adams ",1,1998,-0.276224553585052
"Antelope ",1,1998,-1.12685525417328
"Arthur ",1,1998,-0.496455579996109
"Banner ",1,1998,-0.889423668384552
"Blaine ",1,1998,-0.960383772850037
"Boone ",1,1998,-0.902493238449097
"Box Butte ",1,1998,-0.488726079463959
"Boyd ",1,1998,-0.547472715377808
"Brown ",1,1998,-0.809480249881744
"Buffalo ",1,1998,-0.642049789428711
"Burt ",1,1998,0.803224921226501
"Butler ",1,1998,0.263992190361023
"Cass ",1,1998,0.272273033857346
"Cedar ",1,1998,-0.544152915477753
"Chase ",1,1998,-0.838765859603882
"Cherry ",1,1998,-0.514488756656647
"Cheyenne ",1,1998,-1.04735147953033
"Clay ",1,1998,-0.462942332029343
"Colfax ",1,1998,0.241360783576965
"Cuming ",1,1998,0.422351896762848
"Custer ",1,1998,-0.873407900333405
"Dakota ",1,1998,0.123276010155678
"Dawes ",1,1998,-0.339467465877533
"Dawson ",1,1998,-0.592967808246613
"Deuel ",1,1998,-0.917640626430511
"Dixon ",1,1998,-0.206487819552422
"Dodge ",1,1998,0.630088627338409
"Douglas ",1,1998,0.54065877199173
"Dundy ",1,1998,-0.727627098560333
"Fillmore ",1,1998,-0.238510236144066
"Franklin ",1,1998,-0.0776500850915909
"Frontier ",1,1998,-0.424315243959427
"Furnas ",1,1998,-0.359803736209869
"Gage ",1,1998,-0.0129560530185699
"Garden ",1,1998,-0.664064407348633
"Garfield ",1,1998,-1.1418799161911
"Gosper ",1,1998,-0.343486577272415
"Grant ",1,1998,-0.549067258834839
"Greeley ",1,1998,-0.857736706733704
"Hall ",1,1998,-0.384298920631409
"Hamilton ",1,1998,-0.186373025178909
"Harlan ",1,1998,-0.182134389877319
"Hayes ",1,1998,-0.604850292205811
"Hitchcock ",1,1998,-0.679237961769104
"Holt ",1,1998,-0.984026193618774
"Hooker ",1,1998,-0.526122212409973
"Howard ",1,1998,-0.638108551502228
"Jefferson ",1,1998,-0.22697052359581
"Johnson ",1,1998,0.023273017257452
"Kearney ",1,1998,-0.304513216018677
"Keith ",1,1998,-0.619253575801849
"Keya Paha ",1,1998,-0.498963207006454
"Kimball ",1,1998,-1.14540636539459
"Knox ",1,1998,-0.813660562038422
"Lancaster ",1,1998,0.236946061253548
"Lincoln ",1,1998,-0.365420669317245
"Logan ",1,1998,-0.52492880821228
"Loup ",1,1998,-1.0424770116806
"Madison ",1,1998,-0.652494668960571
"McPherson ",1,1998,-0.412342399358749
"Merrick ",1,1998,-0.0823493674397469
"Morrill ",1,1998,-0.684477508068085
"Nance ",1,1998,-0.366116970777512
"Nemaha ",1,1998,-0.0224102847278118
"Nuckolls ",1,1998,-0.0416755117475986
"Otoe ",1,1998,0.123451329767704
"Pawnee ",1,1998,0.154717326164246
"Perkins ",1,1998,-0.726134300231934
"Phelps ",1,1998,-0.352291911840439
"Pierce ",1,1998,-1.0410487651825
"Platte ",1,1998,-0.090901754796505
"Polk ",1,1998,0.00534959184005857
"Red Willow ",1,1998,-0.644583523273468
"Richardson ",1,1998,-0.053597878664732
"Rock ",1,1998,-0.956766307353973
"Saline ",1,1998,-0.0341828279197216
"Sarpy ",1,1998,0.439974963665009
"Saunders ",1,1998,0.512503921985626
"Scotts Bluff ",1,1998,-0.567252397537231
"Seward ",1,1998,0.113787762820721
"Sheridan ",1,1998,-0.553631484508514
"Sherman ",1,1998,-0.8178631067276
"Sioux ",1,1998,-0.127416610717773
"Stanton ",1,1998,-0.26351797580719
"Thayer ",1,1998,-0.189213693141937
"Thomas ",1,1998,-0.691237032413483
"Thurston ",1,1998,0.403903365135193
"Valley ",1,1998,-0.975383400917053
"Washington ",1,1998,0.717165231704712
"Wayne ",1,1998,-0.348025411367416
"Webster ",1,1998,-0.128426194190979
"Wheeler ",1,1998,-1.13917207717896
"York ",1,1998,-0.0351811163127422
"Adams ",2,1998,-0.269836217164993
"Antelope ",2,1998,-1.14993917942047
"Arthur ",2,1998,-0.471073389053345
"Banner ",2,1998,1.04279601573944
"Blaine ",2,1998,-0.942069113254547
"Boone ",2,1998,-1.15778708457947
"Box Butte ",2,1998,0.430423676967621
"Boyd ",2,1998,-0.910641014575958
"Brown ",2,1998,-0.93877911567688
"Buffalo ",2,1998,-0.624984443187714
"Burt ",2,1998,-1.10641193389893
"Butler ",2,1998,-0.774546802043915
"Cass ",2,1998,1.16681396961212
"Cedar ",2,1998,-1.37763774394989
"Chase ",2,1998,-0.0505032986402512
"Cherry ",2,1998,-0.160249441862106
"Cheyenne ",2,1998,0.516371786594391
"Clay ",2,1998,-0.147688314318657
"Colfax ",2,1998,-1.11797857284546
"Cuming ",2,1998,-1.32877504825592
"Custer ",2,1998,-0.791833460330963
"Dakota ",2,1998,-1.32946538925171
"Dawes ",2,1998,0.448020428419113
"Dawson ",2,1998,-0.432223081588745
"Deuel ",2,1998,-0.345932513475418
"Dixon ",2,1998,-1.37510561943054
"Dodge ",2,1998,-0.829267859458923
"Douglas ",2,1998,0.514006018638611
"Dundy ",2,1998,0.364757359027863
"Fillmore ",2,1998,-0.00685173692181706
"Franklin ",2,1998,0.0500963777303696
"Frontier ",2,1998,-0.0915517434477806
"Furnas ",2,1998,0.081038698554039
"Gage ",2,1998,1.29331278800964
"Garden ",2,1998,-0.167231678962708
"Garfield ",2,1998,-0.966513991355896
"Gosper ",2,1998,-0.1888138204813
"Grant ",2,1998,-0.0953689143061638
"Greeley ",2,1998,-0.946404635906219
"Hall ",2,1998,-0.83220511674881
"Hamilton ",2,1998,-0.815553426742554
"Harlan ",2,1998,-0.0522468239068985
"Hayes ",2,1998,-0.0463466085493565
"Hitchcock ",2,1998,0.168942123651505
"Holt ",2,1998,-0.966432452201843
"Hooker ",2,1998,-0.478933393955231
"Howard ",2,1998,-0.991153597831726
"Jefferson ",2,1998,1.23762619495392
"Johnson ",2,1998,1.23928534984589
"Kearney ",2,1998,-0.342481106519699
"Keith ",2,1998,-0.284917086362839
"Keya Paha ",2,1998,-0.896750926971436
"Kimball ",2,1998,0.823679447174072
"Knox ",2,1998,-1.3398197889328
"Lancaster ",2,1998,0.848515510559082
