"County","month","year","spi1"
"Adams ",1,1998,-0.288991838693619
"Antelope ",1,1998,-1.14009773731232
"Arthur ",1,1998,-0.519088745117188
"Banner ",1,1998,-0.961105823516846
"Blaine ",1,1998,-0.99409943819046
"Boone ",1,1998,-0.919554352760315
"Box Butte ",1,1998,-0.508132874965668
"Boyd ",1,1998,-0.555875360965729
"Brown ",1,1998,-0.841302812099457
"Buffalo ",1,1998,-0.674283027648926
"Burt ",1,1998,0.801443576812744
"Butler ",1,1998,0.254848629236221
"Cass ",1,1998,0.2593914270401
"Cedar ",1,1998,-0.549134194850922
"Chase ",1,1998,-0.940451204776764
"Cherry ",1,1998,-0.533694267272949
"Cheyenne ",1,1998,-1.10161757469177
"Clay ",1,1998,-0.484141170978546
"Colfax ",1,1998,0.23648127913475
"Cuming ",1,1998,0.419977068901062
"Custer ",1,1998,-0.916447579860687
"Dakota ",1,1998,0.12251353263855
"Dawes ",1,1998,-0.355667352676392
"Dawson ",1,1998,-0.632296741008759
"Deuel ",1,1998,-0.962338387966156
"Dixon ",1,1998,-0.209808945655823
"Dodge ",1,1998,0.624984979629517
"Douglas ",1,1998,0.530759990215302
"Dundy ",1,1998,-0.854291021823883
"Fillmore ",1,1998,-0.258921474218369
"Franklin ",1,1998,-0.0865119248628616
"Frontier ",1,1998,-0.464649111032486
"Furnas ",1,1998,-0.39724737405777
"Gage ",1,1998,-0.0306611228734255
"Garden ",1,1998,-0.684496402740479
"Garfield ",1,1998,-1.16731679439545
"Gosper ",1,1998,-0.369808822870255
"Grant ",1,1998,-0.57005763053894
"Greeley ",1,1998,-0.878255903720856
"Hall ",1,1998,-0.401722878217697
"Hamilton ",1,1998,-0.199545681476593
"Harlan ",1,1998,-0.196232154965401
"Hayes ",1,1998,-0.673834919929504
"Hitchcock ",1,1998,-0.782829642295837
"Holt ",1,1998,-0.997172772884369
"Hooker ",1,1998,-0.549498617649078
"Howard ",1,1998,-0.661948084831238
"Jefferson ",1,1998,-0.250180751085281
"Johnson ",1,1998,0.0102330958470702
"Kearney ",1,1998,-0.321790367364883
"Keith ",1,1998,-0.653883397579193
"Keya Paha ",1,1998,-0.513521313667297
"Kimball ",1,1998,-1.23779821395874
"Knox ",1,1998,-0.822486400604248
"Lancaster ",1,1998,0.220569968223572
"Lincoln ",1,1998,-0.388842642307281
"Logan ",1,1998,-0.547262191772461
"Loup ",1,1998,-1.07029414176941
"Madison ",1,1998,-0.661005139350891
"McPherson ",1,1998,-0.433951377868652
"Merrick ",1,1998,-0.0946384817361832
"Morrill ",1,1998,-0.714187622070312
"Nance ",1,1998,-0.381251066923141
"Nemaha ",1,1998,-0.0389308743178844
