"cofips","year","month","temp","ppt"
"001",1998,"01",26.49,0.33
"001",1998,"02",35.87,0.62
"001",1998,"03",32.2,2.46
"001",1998,"04",48.79,3.3
"001",1998,"05",64.74,2.61
"001",1998,"06",68.65,3.83
"001",1998,"07",76.26,7.18
"001",1998,"08",74.8,2.25
"001",1998,"09",70.86,1.03
"001",1998,"10",54.77,1.73
"001",1998,"11",42.44,2.57
"001",1998,"12",30.85,0.07
"001",1999,"01",25.45,0.51
"001",1999,"02",37.96,0.19
"001",1999,"03",39.4,0.53
"001",1999,"04",49.68,4.42
"001",1999,"05",60.1,5.62
"001",1999,"06",67.91,6.13
"001",1999,"07",78.28,0.98
"001",1999,"08",72.59,4.84
"001",1999,"09",62.65,0.72
"001",1999,"10",52.57,0.08
"001",1999,"11",46.06,0.33
"001",1999,"12",32.65,0.23
"001",2000,"01",28.47,0.27
"001",2000,"02",35.06,1.55
"001",2000,"03",43.12,2.46
"001",2000,"04",50.04,1.12
"001",2000,"05",63.86,2.15
"001",2000,"06",69.62,3.56
"001",2000,"07",75.18,6.15
"001",2000,"08",78.08,1.55
"001",2000,"09",67.03,1.33
"001",2000,"10",54.86,2.05
"001",2000,"11",29.5,2.22
"001",2000,"12",18.01,0.5
"001",2001,"01",27.46,0.99
"001",2001,"02",21.51,1.25
"001",2001,"03",35.76,0.84
"001",2001,"04",53.92,2.92
"001",2001,"05",62.46,6.78
"001",2001,"06",70.57,1.72
"001",2001,"07",78.76,3.46
"001",2001,"08",75.18,2.55
"001",2001,"09",64.74,3.54
"001",2001,"10",52.74,1.43
"001",2001,"11",46.54,1.29
"001",2001,"12",32.27,0.11
"001",2002,"01",30.29,0.44
"001",2002,"02",31.17,0.34
"001",2002,"03",32.54,0.61
"001",2002,"04",51.57,1.46
"001",2002,"05",58.17,3.83
"001",2002,"06",76.3,1.05
"001",2002,"07",79.07,1.07
"001",2002,"08",75,3.57
"001",2002,"09",66.38,2.22
"001",2002,"10",46.31,3.91
"001",2002,"11",38.8,0.17
"001",2002,"12",32.88,0.02
"001",2003,"01",26.28,0.36
"001",2003,"02",26.02,0.91
"001",2003,"03",40.86,0.66
"001",2003,"04",52.03,4.14
"001",2003,"05",58.77,4.16
"001",2003,"06",68.67,3.91
"001",2003,"07",77.88,0.47
"001",2003,"08",76.53,1.59
"001",2003,"09",62.1,3.08
"001",2003,"10",55.65,0.92
"001",2003,"11",37.08,0.69
"001",2003,"12",31.44,0.09
"001",2004,"01",22.62,0.93
"001",2004,"02",24.3,1.29
"001",2004,"03",44.83,2.22
"001",2004,"04",52.38,1.5
"001",2004,"05",62.96,3.97
"001",2004,"06",67.82,2.64
"001",2004,"07",72,4.47
"001",2004,"08",70.2,1.03
"001",2004,"09",69.15,4.55
"001",2004,"10",53.56,1.53
"001",2004,"11",40.41,2.05
"001",2004,"12",31.66,0.05
"001",2005,"01",22.24,0.7
"001",2005,"02",34.38,1
"001",2005,"03",41.25,2.25
"001",2005,"04",51.85,2.18
"001",2005,"05",60.78,4.09
"001",2005,"06",72.63,4.6
"001",2005,"07",77.52,2.2
"001",2005,"08",73.8,3.09
"001",2005,"09",70.02,0.94
"001",2005,"10",55.22,1.46
"001",2005,"11",41.99,1.28
"001",2005,"12",25.59,0.41
"001",2006,"01",38.12,0.16
"001",2006,"02",30.4,0.04
"001",2006,"03",38.46,2.72
"001",2006,"04",55.6,2.04
"001",2006,"05",63.18,2.68
"001",2006,"06",73.27,3.8
"001",2006,"07",77.74,2.5
"001",2006,"08",74.03,5.25
"001",2006,"09",61.23,3.36
"001",2006,"10",49.51,1.36
"001",2006,"11",38.5,0.31
"001",2006,"12",31.33,2.28
"001",2007,"01",22.86,0.56
"001",2007,"02",24.51,0.94
"001",2007,"03",47.26,2.15
"001",2007,"04",48.58,3.49
"001",2007,"05",64.11,6
"001",2007,"06",70.84,2.81
"001",2007,"07",76.6,4.7
"001",2007,"08",77.14,3.51
"001",2007,"09",65.79,2.13
"001",2007,"10",55.42,4.39
"001",2007,"11",40.17,0.05
"001",2007,"12",21.92,1.79
"001",2008,"01",20.68,0.18
"001",2008,"02",27.09,0.36
"001",2008,"03",38.77,1.23
"001",2008,"04",46.06,3.64
"001",2008,"05",58.33,6.21
"001",2008,"06",69.91,5.77
"001",2008,"07",75.83,5.27
"001",2008,"08",71.89,2.24
"001",2008,"09",63.97,2.14
"001",2008,"10",52.09,7.25
"001",2008,"11",39.6,1.01
"001",2008,"12",22.42,0.56
"001",2009,"01",26.64,0.2
"001",2009,"02",31.91,0.5
"001",2009,"03",38.5,0.13
"001",2009,"04",48.76,2.02
"001",2009,"05",61.57,2.11
"001",2009,"06",69.55,4.17
"001",2009,"07",71.74,2.35
"001",2009,"08",71.44,4.37
"001",2009,"09",62.64,1.84
"001",2009,"10",44.6,3.87
"001",2009,"11",43.88,0.29
"001",2009,"12",18.81,1.18
"001",2010,"01",20.64,0.19
"001",2010,"02",24.13,0.65
"001",2010,"03",41.2,2.96
"001",2010,"04",54.19,3.31
"001",2010,"05",58.21,5.58
"001",2010,"06",72.45,7
"001",2010,"07",76.05,2.75
"001",2010,"08",76.5,3.35
"001",2010,"09",65.52,2.53
"001",2010,"10",55.78,0.2
"001",2010,"11",38.53,0.85
"001",2010,"12",26.01,0.2
"001",2011,"01",19.35,1
"001",2011,"02",26.92,0.38
"001",2011,"03",38.73,0.46
"001",2011,"04",49.93,3.73
"001",2011,"05",59.2,5.91
"001",2011,"06",71.26,3.1
"001",2011,"07",79.18,4.81
"001",2011,"08",74.32,4.34
"001",2011,"09",60.82,0.62
"001",2011,"10",54.45,1.73
"001",2011,"11",39.34,0.44
"001",2011,"12",29.43,1
"001",2012,"01",31.91,0.15
"001",2012,"02",30.69,1.82
"001",2012,"03",52.95,0.94
"001",2012,"04",55.81,2.81
"001",2012,"05",65.7,3.4
"001",2012,"06",74.21,2.79
"001",2012,"07",80.82,1.56
"001",2012,"08",73.02,1.99
"001",2012,"09",64.99,0.56
"001",2012,"10",49.6,1.33
"001",2012,"11",41.56,0.58
"001",2012,"12",28.29,1.56
"001",2013,"01",25.16,0.41
"001",2013,"02",30.24,1
"001",2013,"03",35.76,2
"001",2013,"04",45.36,2.5
"001",2013,"05",60.46,5.44
"001",2013,"06",71.26,1.41
"001",2013,"07",74.62,1.78
"001",2013,"08",74.91,3.4
"001",2013,"09",70.11,1.79
"001",2013,"10",52.48,3.7
"001",2013,"11",37.74,1.12
"001",2013,"12",25.43,0.14
"001",2014,"01",25.97,0.34
"001",2014,"02",23.38,0.57
"001",2014,"03",36.86,0.19
"001",2014,"04",51.15,3.43
"001",2014,"05",61.83,1.99
"001",2014,"06",71.35,8.66
"001",2014,"07",72.84,1.84
"001",2014,"08",74.01,7.2
"001",2014,"09",64.06,1.74
"001",2014,"10",54.73,1.61
"001",2014,"11",34.48,0.21
"001",2014,"12",29.93,0.64
"001",2015,"01",28.53,0.35
"001",2015,"02",25.63,0.49
"001",2015,"03",44.22,0.2
"001",2015,"04",52.65,3.2
"001",2015,"05",58.98,3.74
"001",2015,"06",71.28,7.83
"001",2015,"07",75.09,3.46
"001",2015,"08",72.07,2.39
"001",2015,"09",71.4,1.64
"001",2015,"10",56.75,1.51
"001",2015,"11",43.2,2.11
"001",2015,"12",32.72,2.14
"001",2016,"01",27.75,0.45
"001",2016,"02",35.38,1.22
"001",2016,"03",45.91,0.53
"001",2016,"04",52.5,5.94
"001",2016,"05",59.47,3.94
"001",2016,"06",75.88,0.72
"001",2016,"07",76.39,2.98
"001",2016,"08",74.07,3.1
"001",2016,"09",67.12,2.59
"001",2016,"10",57.25,0.42
"001",2016,"11",45.84,1.45
"001",2016,"12",26.28,0.71
"001",2017,"01",27.59,1.02
"001",2017,"02",38.41,0.29
"001",2017,"03",43.41,1.24
"001",2017,"04",51.85,3.17
"001",2017,"05",59.97,6.68
"001",2017,"06",73.45,1.76
"001",2017,"07",77.52,4.09
"001",2017,"08",70.14,4.51
"001",2017,"09",67.98,2.27
"001",2017,"10",53.19,4.59
"001",2017,"11",41,0.11
"001",2017,"12",27.86,0.31
"001",2018,"01",24.19,0.5
"001",2018,"02",23.61,0.6
"001",2018,"03",40.44,1.1
"001",2018,"04",42.8,1.26
"001",2018,"05",66.27,3.53
"001",2018,"06",75.47,5.58
"001",2018,"07",74.8,3.06
"001",2018,"08",72.59,3.79
"001",2018,"09",67.08,4.31
"001",2018,"10",49.3,3.52
"001",2018,"11",34.95,1.16
"001",2018,"12",29.82,3.29
"001",2019,"01",27.28,0.16
"001",2019,"02",19.36,0.97
"003",1998,"01",24.13,0.14
"003",1998,"02",33.31,0.33
"003",1998,"03",28.94,3.47
"003",1998,"04",47.19,3.75
"003",1998,"05",63.19,2.65
"003",1998,"06",65.62,6
"003",1998,"07",74.71,3.13
"003",1998,"08",72.95,4.4
"003",1998,"09",68.04,0.29
"003",1998,"10",52.12,4.48
"003",1998,"11",39.9,2.26
"003",1998,"12",28.65,0.26
"003",1999,"01",22.15,0.39
"003",1999,"02",34.41,0.88
"003",1999,"03",37.31,1.25
"003",1999,"04",47.68,4.88
"003",1999,"05",59.02,2.79
"003",1999,"06",66.47,7.76
"003",1999,"07",76.3,2.83
"003",1999,"08",71.15,1.2
"003",1999,"09",60.6,0.81
"003",1999,"10",50.49,0.23
"003",1999,"11",44.58,0.16
"003",1999,"12",29.97,0.37
"003",2000,"01",26.08,0.21
"003",2000,"02",33.98,1.48
"003",2000,"03",41.9,0.99
"003",2000,"04",48.15,1.45
"003",2000,"05",61.52,5.73
"003",2000,"06",67.1,2.31
"003",2000,"07",73.99,3.89
"003",2000,"08",75.16,0.92
"003",2000,"09",63.72,1.19
"003",2000,"10",52.7,2.77
"003",2000,"11",26.94,1.54
"003",2000,"12",14.13,0.39
"003",2001,"01",24.21,1.53
"003",2001,"02",17.92,0.69
"003",2001,"03",32.4,0.8
"003",2001,"04",49.68,4.83
"003",2001,"05",60.39,3.93
"003",2001,"06",68.18,2.11
"003",2001,"07",75.4,4.86
"003",2001,"08",72.84,3.81
"003",2001,"09",62.35,3.45
"003",2001,"10",50.59,0.78
"003",2001,"11",45.01,3.24
"003",2001,"12",28.96,0.1
"003",2002,"01",28.62,0.25
"003",2002,"02",31.55,0.4
"003",2002,"03",28.51,0.95
"003",2002,"04",49.82,2.18
"003",2002,"05",55.4,2.06
"003",2002,"06",73.53,2.38
"003",2002,"07",78.31,0.84
"003",2002,"08",71.71,4.77
