Id,Id2,Geography,2010,2011,2012,2013,2014,2015,2016,2017,2018
0500000US31001,31001,"Adams County, Nebraska",31328,31204,31347,31534,31396,31569,31663,31774,31511
0500000US31003,31003,"Antelope County, Nebraska",6679,6621,6550,6472,6419,6413,6343,6348,6336
0500000US31005,31005,"Arthur County, Nebraska",465,468,479,454,451,451,466,455,465
0500000US31007,31007,"Banner County, Nebraska",691,655,684,678,670,713,720,734,730
0500000US31009,31009,"Blaine County, Nebraska",478,475,498,470,490,477,470,478,476
0500000US31011,31011,"Boone County, Nebraska",5511,5406,5428,5397,5356,5311,5332,5329,5239
0500000US31013,31013,"Box Butte County, Nebraska",11274,11294,11265,11297,11299,11327,11185,10860,10772
0500000US31015,31015,"Boyd County, Nebraska",2105,2078,2060,2016,2019,2000,1975,1962,1955
0500000US31017,31017,"Brown County, Nebraska",3154,3098,3052,2958,2974,2982,2980,3007,2973
0500000US31019,31019,"Buffalo County, Nebraska",46174,46820,47639,48002,48205,48615,49215,49502,49615
0500000US31021,31021,"Burt County, Nebraska",6840,6780,6679,6568,6543,6535,6535,6537,6488
0500000US31023,31023,"Butler County, Nebraska",8374,8255,8251,8230,8178,8056,7996,8040,8058
0500000US31025,31025,"Cass County, Nebraska",25240,25235,25124,25295,25404,25413,25630,25904,26159
0500000US31027,31027,"Cedar County, Nebraska",8818,8750,8697,8624,8541,8515,8597,8515,8446
0500000US31029,31029,"Chase County, Nebraska",3966,3983,4014,3979,3979,3961,3913,3944,3977
0500000US31031,31031,"Cherry County, Nebraska",5694,5730,5731,5754,5741,5818,5825,5807,5761
0500000US31033,31033,"Cheyenne County, Nebraska",9968,9988,10072,10065,10112,10136,10044,9657,9310
0500000US31035,31035,"Clay County, Nebraska",6536,6453,6383,6358,6314,6292,6137,6204,6214
0500000US31037,31037,"Colfax County, Nebraska",10540,10568,10553,10455,10666,10734,10746,10775,10881
0500000US31039,31039,"Cuming County, Nebraska",9160,9116,9082,9010,9018,9077,8956,8964,8940
0500000US31041,31041,"Custer County, Nebraska",10910,10906,10847,10832,10773,10830,10827,10880,10840
0500000US31043,31043,"Dakota County, Nebraska",21034,20813,20722,20777,20565,20566,20302,20068,20083
0500000US31045,31045,"Dawes County, Nebraska",9168,9201,9132,9061,9018,8954,8907,8885,8716
0500000US31047,31047,"Dawson County, Nebraska",24314,24221,23988,24029,23998,23903,23765,23643,23709
0500000US31049,31049,"Deuel County, Nebraska",1925,1957,1958,1920,1926,1910,1861,1868,1825
0500000US31051,31051,"Dixon County, Nebraska",5985,5994,5885,5811,5757,5765,5738,5760,5709
0500000US31053,31053,"Dodge County, Nebraska",36672,36927,36587,36498,36616,36560,36655,36794,36791
0500000US31055,31055,"Douglas County, Nebraska",518570,524121,530768,536783,543098,549052,555358,560573,566880
0500000US31057,31057,"Dundy County, Nebraska",2008,1976,1980,1957,1865,1773,1810,1793,1770
0500000US31059,31059,"Fillmore County, Nebraska",5871,5827,5714,5637,5603,5554,5623,5564,5527
0500000US31061,31061,"Franklin County, Nebraska",3244,3204,3182,3063,3048,2977,2994,2988,3023
0500000US31063,31063,"Frontier County, Nebraska",2760,2714,2719,2716,2722,2632,2647,2626,2608
0500000US31065,31065,"Furnas County, Nebraska",4945,4915,4883,4830,4852,4830,4763,4768,4715
0500000US31067,31067,"Gage County, Nebraska",22269,21906,21651,21766,21555,21706,21608,21615,21493
0500000US31069,31069,"Garden County, Nebraska",2075,2062,1982,1923,1908,1916,1907,1897,1897
0500000US31071,31071,"Garfield County, Nebraska",2035,2010,1994,2022,2000,2014,1994,1999,1987
0500000US31073,31073,"Gosper County, Nebraska",2040,1991,2079,2017,2004,2025,2025,2027,1996
0500000US31075,31075,"Grant County, Nebraska",613,634,625,633,626,646,665,649,660
0500000US31077,31077,"Greeley County, Nebraska",2546,2535,2464,2483,2483,2435,2401,2377,2356
0500000US31079,31079,"Hall County, Nebraska",58800,59485,60094,60490,61104,61149,61477,61377,61607
0500000US31081,31081,"Hamilton County, Nebraska",9127,9077,9040,9123,9102,9140,9157,9210,9280
0500000US31083,31083,"Harlan County, Nebraska",3422,3435,3411,3487,3468,3442,3452,3428,3401
0500000US31085,31085,"Hayes County, Nebraska",956,952,919,947,910,915,890,893,916
0500000US31087,31087,"Hitchcock County, Nebraska",2901,2861,2877,2857,2882,2883,2831,2815,2806
0500000US31089,31089,"Holt County, Nebraska",10434,10442,10376,10382,10361,10268,10230,10186,10178
0500000US31091,31091,"Hooker County, Nebraska",737,743,718,731,722,714,683,668,682
0500000US31093,31093,"Howard County, Nebraska",6279,6295,6298,6337,6352,6382,6407,6414,6468
0500000US31095,31095,"Jefferson County, Nebraska",7521,7550,7533,7512,7299,7213,7166,7164,7097
0500000US31097,31097,"Johnson County, Nebraska",5233,5217,5185,5166,5221,5240,5214,5176,5134
0500000US31099,31099,"Kearney County, Nebraska",6477,6546,6508,6485,6587,6556,6558,6513,6544
0500000US31101,31101,"Keith County, Nebraska",8354,8237,8220,8154,8170,8132,8092,8078,8021
0500000US31103,31103,"Keya Paha County, Nebraska",824,819,797,790,795,797,792,793,810
0500000US31105,31105,"Kimball County, Nebraska",3834,3807,3802,3694,3726,3716,3675,3601,3618
0500000US31107,31107,"Knox County, Nebraska",8676,8574,8573,8553,8473,8468,8484,8458,8419
0500000US31109,31109,"Lancaster County, Nebraska",286160,289884,293430,297120,302644,306136,310440,313977,317272
0500000US31111,31111,"Lincoln County, Nebraska",36251,36029,35975,35938,35652,35512,35501,35314,35185
0500000US31113,31113,"Logan County, Nebraska",772,779,785,777,767,790,789,762,749
0500000US31115,31115,"Loup County, Nebraska",628,616,605,587,596,606,615,605,618
0500000US31117,31117,"McPherson County, Nebraska",539,551,509,528,510,489,503,494,492
0500000US31119,31119,"Madison County, Nebraska",34963,35006,35088,35158,35100,35021,35036,35272,35392
0500000US31121,31121,"Merrick County, Nebraska",7848,7755,7840,7825,7784,7801,7834,7861,7733
0500000US31123,31123,"Morrill County, Nebraska",5039,4985,4934,4926,4919,4925,4865,4808,4686
0500000US31125,31125,"Nance County, Nebraska",3740,3731,3673,3558,3527,3573,3563,3576,3532
0500000US31127,31127,"Nemaha County, Nebraska",7238,7237,7150,7148,7129,7002,6971,6961,6958
0500000US31129,31129,"Nuckolls County, Nebraska",4514,4447,4430,4384,4347,4316,4259,4260,4195
0500000US31131,31131,"Otoe County, Nebraska",15748,15739,15689,15688,15780,15840,15941,15932,15985
0500000US31133,31133,"Pawnee County, Nebraska",2781,2791,2791,2750,2725,2690,2698,2633,2632
0500000US31135,31135,"Perkins County, Nebraska",2981,2947,2933,2894,2878,2937,2898,2894,2929
0500000US31137,31137,"Phelps County, Nebraska",9182,9140,9210,9179,9162,9214,9187,9042,8996
0500000US31139,31139,"Pierce County, Nebraska",7260,7193,7187,7180,7202,7189,7142,7108,7142
0500000US31141,31141,"Platte County, Nebraska",32305,32513,32674,32603,32752,32890,33028,33282,33363
0500000US31143,31143,"Polk County, Nebraska",5398,5340,5269,5246,5272,5179,5203,5344,5278
0500000US31145,31145,"Red Willow County, Nebraska",11058,11048,11044,11053,10900,10886,10770,10750,10726
0500000US31147,31147,"Richardson County, Nebraska",8372,8341,8283,8132,8108,8022,7999,7981,7937
0500000US31149,31149,"Rock County, Nebraska",1524,1480,1426,1440,1449,1417,1404,1422,1360
0500000US31151,31151,"Saline County, Nebraska",14222,14327,14423,14305,14303,14204,14227,14357,14350
0500000US31153,31153,"Sarpy County, Nebraska",159721,162555,165662,169001,171872,175245,178503,181678,184459
0500000US31155,31155,"Saunders County, Nebraska",20869,20839,20795,20876,20858,20946,20993,21019,21303
0500000US31157,31157,"Scotts Bluff County, Nebraska",37057,36952,36902,36850,36435,36230,36409,36213,35989
0500000US31159,31159,"Seward County, Nebraska",16798,16703,16894,16991,17008,16995,17110,17202,17318
0500000US31161,31161,"Sheridan County, Nebraska",5444,5361,5329,5209,5253,5216,5231,5278,5190
0500000US31163,31163,"Sherman County, Nebraska",3164,3101,3078,3061,3034,3036,3011,3090,3038
0500000US31165,31165,"Sioux County, Nebraska",1311,1319,1323,1330,1321,1276,1259,1201,1187
0500000US31167,31167,"Stanton County, Nebraska",6142,6175,6090,6088,6098,5942,5971,5977,5970
0500000US31169,31169,"Thayer County, Nebraska",5234,5168,5144,5177,5211,5127,5079,5036,5039
0500000US31171,31171,"Thomas County, Nebraska",647,698,701,705,701,695,727,730,720
0500000US31173,31173,"Thurston County, Nebraska",6969,6903,6925,6873,6961,7072,7141,7225,7303
0500000US31175,31175,"Valley County, Nebraska",4265,4228,4216,4181,4217,4168,4200,4230,4190
0500000US31177,31177,"Washington County, Nebraska",19923,19917,19948,19852,19929,19922,20227,20351,20667
0500000US31179,31179,"Wayne County, Nebraska",9612,9453,9502,9444,9405,9373,9395,9260,9403
0500000US31181,31181,"Webster County, Nebraska",3809,3757,3734,3643,3645,3592,3567,3520,3533
0500000US31183,31183,"Wheeler County, Nebraska",825,815,797,779,786,779,804,816,805
0500000US31185,31185,"York County, Nebraska",13669,13784,13836,13853,13918,13796,13738,13770,13772
